RT,IBD_1,IBD_2,IBD_3,IBD_4,IBD_5,IBD_6,IBD_7,IBD_8,IBD_9,IBD_10,IBD_11,IBD_12,IBD_13,IBD_14,IBD_15,IBD_16,IBD_17,IBD_18,IBD_19,IBD_20,IBD_21,IBD_22,IBD_23,IBD_24,IBD_25,IBD_26,IBD_27,IBD_28,IBD_29,IBD_30,IBD_31,IBD_32,IBD_33,IBD_34,IBD_35,IBD_36,IBD_37,IBD_38,IBD_39,IBD_40,IBD_41,IBD_42,IBD_43,IBD_44,IBD_45,IBS_1,IBS_2,IBS_3,IBS_4,IBS_5,IBS_6,IBS_7,IBS_8,IBS_9,IBS_10,IBS_11,IBS_12,IBS_13,IBS_14,IBS_15,IBS_16,IBS_17,IBS_18,IBS_19,IBS_20,IBS_21,IBS_22,IBS_23,IBS_24,Normal_1,Normal_2,Normal_3,Normal_4,Normal_5,Normal_6,Normal_7,Normal_8,Normal_9,Normal_10,Normal_11,Normal_12,Normal_13,Normal_14,Normal_15,Normal_16,Normal_17,Normal_18,Normal_19,Normal_20,Normal_21,Normal_22,Normal_23,Normal_24,Normal_25,Normal_26,Normal_27,Normal_28,Normal_29
685,7312464,7369402,7524682,7351806,7547484,7614589,7374954,7269612,7260546,7588293,6943330,7402089,7736980,7519906,7415686,7558372,8461198,7708846,7276478,7353230,7765206,7686708,7223682,7226042,7491374,7494128,7551080,7389482,7464320,7400202,7746584,7638272,7367866,7485142,7449406,7291216,7769030,7431540,7433911,7275672,7361364,7410476,7287988,7708138,7746439,7779120,7272420,7555464,7853619,7700656,7554891,7292609,7400062,7329663,7573518,7331222,7212549,7505133,8477784,6941587,7381606,7396331,7486953,7305608,7242592,7081083,7632586,7622210,7136199,7655571,7607596,7513229,7227435,7643345,7952954,7516910,7364710,7621970,7540344,7496330,7778214,7247497,7524764,7341025,7325488,7320815,7646250,7689534,7549392,7933310,7398355,7530808,7148430,7160788,7350606,7298670,7809378,8571635
685.5,7312464,7369402,7525928,7355367,7565726,7615174,7378432,7271132,7260546,7590075,6945228,7401406,7768159,7521157,7414334,7562021,8492650,7712046,7277249,7352505,7765205,7685614,7222879,7227610,7493352,7496676,7551698,7390174,7470247,7402253,7747631,7635990,7370671,7483196,7448008,7301528,7767974,7433544,7436630,7276419,7364174,7411174,7289540,7707587,7748132,7778614,7277662,7559715,7861150,7701211,7559144,7300687,7401429,7334062,7573518,7332666,7213352,7506398,8492008,6945240,7381606,7396332,7492076,7307075,7243373,7079388,7632586,7621632,7137068,7654452,7607596,7513866,7228973,7647406,7958601,7518170,7364006,7622548,7543416,7498243,7777194,7262568,7525387,7338826,7325488,7321538,7645674,7689534,7549392,7957464,7399728,7530188,7151045,7161614,7351322,7300878,7807437,8581356
686,7311008,7370798,7527794,7359631,7575940,7619261,7380514,7271132,7262829,7591262,6945228,7403455,7781426,7522406,7415010,7568078,8510886,7712578,7276478,7351053,7765205,7686161,7223682,7228393,7494668,7499220,7549224,7390866,7472873,7402253,7746584,7633132,7373469,7483196,7448008,7309575,7767446,7434877,7439342,7277166,7364876,7412570,7291088,7706485,7748132,7777602,7282143,7563952,7868160,7702874,7565191,7302883,7402112,7337716,7574120,7336988,7213352,7509552,8500637,6947976,7381606,7394902,7500359,7307076,7247268,7081931,7632586,7621632,7137936,7655011,7608762,7511318,7228973,7651455,7965514,7517540,7364710,7625434,7544643,7503965,7777194,7289410,7526010,7339559,7325488,7320092,7645098,7688386,7550622,7977705,7401783,7529567,7153654,7163265,7351322,7300878,7802081,8589210
686.5,7311008,7370100,7528417,7361756,7595551,7619844,7381208,7271132,7264350,7594221,6948069,7405502,7806511,7524278,7414334,7569888,8525587,7713110,7278019,7351053,7763026,7686708,7224483,7230739,7495982,7499220,7549843,7390866,7477452,7404300,7747108,7631987,7377658,7481898,7448707,7320477,7767446,7437542,7442725,7277913,7367680,7411872,7291862,7707036,7748696,7777096,7288094,7567571,7874202,7705086,7571806,7309451,7402112,7339904,7574722,7337707,7212551,7510182,8504110,6949796,7380912,7395617,7504798,7307809,7246490,7081084,7633738,7622787,7137068,7655012,7611092,7510681,7232810,7657792,7969381,7517540,7364710,7628888,7545869,7507768,7776684,7332966,7527256,7340292,7326956,7320815,7644521,7688960,7550622,7989097,7403836,7529568,7154523,7164090,7354896,7302348,7800127,8594336
687,7311008,7370798,7529660,7369524,7607884,7621010,7380514,7271891,7265109,7594812,6945228,7405501,7824270,7524901,7415010,7574103,8539571,7714705,7276478,7350326,7763026,7686708,7227685,7231521,7497296,7499855,7549843,7391558,7480061,7404300,7747108,7629120,7381138,7483196,7448008,7324817,7766389,7440202,7445422,7279406,7369079,7412570,7292636,7706485,7750387,7777096,7295495,7573583,7879748,7705639,7576001,7316716,7403477,7342088,7574722,7339144,7213352,7512701,8505956,6954340,7381606,7396332,7507959,7308542,7249601,7084472,7634313,7622209,7137936,7653892,7611674,7508768,7232810,7664101,7975801,7517540,7364006,7630038,7548928,7509664,7774642,7374010,7527877,7338826,7326956,7319368,7644521,7687812,7548777,8004743,7403835,7528326,7157126,7164914,7352754,7304549,7797190,8596412
687.5,7311736,7370798,7531522,7370228,7620083,7621592,7381902,7271891,7265109,7595993,6945228,7408226,7839321,7527392,7415686,7574704,8544259,7717356,7276478,7350326,7761934,7686708,7228484,7229958,7498608,7501123,7549224,7391558,7483314,7406344,7747631,7629120,7385302,7483196,7448008,7335603,7765860,7440865,7446771,7280898,7372571,7413268,7295724,7707036,7751514,7775068,7301389,7576580,7883430,7706744,7581966,7321057,7403478,7347169,7575325,7341296,7214152,7514586,8503186,6955248,7380912,7395617,7514254,7307076,7248824,7084470,7634889,7621632,7138803,7654452,7612256,7510681,7232810,7666960,7980059,7519428,7363302,7630612,7550150,7513448,7773108,7429885,7529120,7339559,7327690,7320092,7643944,7687812,7549392,8011878,7405885,7528326,7158858,7164090,7356323,7303816,7792766,8597165
688,7311008,7370798,7533380,7375843,7635597,7625079,7382594,7272650,7265868,7597764,6948069,7409586,7852288,7528014,7412980,7576504,8549150,7717356,7278020,7350326,7761388,7685614,7228484,7229958,7499918,7502393,7549224,7392249,7486560,7407024,7748154,7626820,7389454,7483196,7448008,7342036,7765330,7442856,7450132,7280898,7373269,7412570,7297266,7707036,7750951,7775068,7307258,7580164,7885726,7707296,7589084,7326107,7404842,7349341,7575325,7342013,7214952,7515213,8498550,6957060,7380217,7396332,7517391,7309274,7251928,7085317,7632586,7623364,7139670,7652772,7613999,7510044,7234342,7674364,7985145,7520056,7364710,7632333,7550150,7515337,7772597,7516858,7530984,7337358,7329154,7320091,7644521,7687238,7548777,8015422,7406568,7529568,7158858,7166561,7355610,7306015,7790794,8595846
688.5,7311736,7371496,7534618,7378643,7645840,7626240,7383286,7273409,7267384,7599530,6948069,7408906,7862262,7528635,7414334,7577703,8549614,7718416,7276478,7346687,7761388,7685066,7230080,7233862,7501881,7503026,7549224,7391558,7491731,7408386,7746584,7624518,7391524,7483196,7447309,7347017,7764800,7441528,7453485,7281644,7377447,7413964,7297266,7707036,7750951,7775068,7312374,7583144,7886184,7708398,7592627,7328987,7406206,7350786,7575928,7345590,7214952,7517094,8490592,6958872,7380217,7397760,7520521,7307809,7255026,7084472,7634314,7623364,7138803,7652772,7614579,7510044,7235107,7680033,7987258,7519428,7366116,7633480,7549539,7518480,7771574,7569203,7529120,7336623,7329154,7319368,7643367,7687238,7548162,8015816,7407932,7529568,7160588,7168206,7356323,7303816,7786839,8590352
689,7309552,7372194,7536473,7381437,7655432,7627978,7384670,7274168,7267384,7600119,6949961,7410944,7870748,7529877,7412980,7578302,8548686,7718416,7278790,7347416,7760296,7684518,7231676,7233082,7502534,7503659,7548604,7392249,7494956,7407024,7748154,7622787,7394970,7481897,7447309,7353398,7764800,7443518,7454823,7283876,7378142,7414660,7297266,7707036,7751513,7774560,7318196,7584929,7885726,7709502,7597923,7334725,7406886,7352951,7575928,7346304,7215751,7517094,8483506,6959777,7378132,7396332,7522394,7308541,7255799,7085317,7633162,7623364,7139670,7652211,7616898,7510044,7237400,7682858,7990208,7520684,7364710,7634626,7549539,7521614,7768495,7648894,7529120,7337358,7329154,7320092,7642790,7686088,7548162,8015028,7409294,7529568,7161451,7168206,7357748,7306748,7785848,8586155
689.5,7310280,7372891,7538324,7386311,7665505,7628557,7384670,7274925,7268900,7600708,6949016,7411624,7874500,7531740,7413657,7577703,8544026,7718945,7278019,7345958,7758656,7681774,7232473,7232302,7505144,7504292,7549224,7393630,7496886,7408384,7746060,7620476,7397720,7481898,7446610,7356224,7764270,7444180,7455491,7284620,7378837,7413268,7297266,7707036,7751514,7773036,7321101,7586710,7885267,7710602,7603196,7338302,7406206,7353673,7575325,7348446,7215751,7517720,8465987,6963391,7378132,7397760,7524265,7310737,7257345,7088696,7633162,7623941,7143132,7652211,7617477,7510044,7238928,7685678,7992732,7521312,7364710,7635198,7550150,7522866,7767468,7747992,7528499,7336623,7331351,7318644,7642790,7685513,7546315,8010692,7410654,7528947,7162314,7167384,7358460,7308941,7781874,8576125
690,7308824,7372891,7540174,7388394,7670513,7630292,7385361,7275682,7270412,7601295,6949961,7412303,7879638,7530498,7412980,7577104,8537224,7718945,7277249,7345958,7759203,7681224,7233270,7233862,7505144,7505557,7547984,7392940,7498169,7408386,7746584,7619898,7401147,7480598,7448008,7361158,7764800,7444180,7458828,7285363,7380919,7414660,7298806,7707587,7752638,7773036,7326888,7589083,7884350,7712252,7606695,7341157,7408928,7355114,7576529,7348446,7216550,7518972,8455234,6964294,7378132,7397046,7526133,7311468,7256572,7087852,7633738,7624518,7140536,7652772,7616898,7510044,7237402,7689615,7993571,7521940,7363302,7634626,7550150,7525365,7766440,7807607,7528499,7335888,7332082,7320092,7642790,7684938,7544466,8003952,7410654,7527705,7163177,7166561,7357748,7308210,7777886,8565752
690.5,7310280,7372194,7540174,7389781,7678264,7632603,7384670,7277196,7270412,7601295,6949961,7412981,7880104,7532978,7412979,7574703,8527978,7719474,7277249,7343036,7758656,7680674,7231676,7232302,7506446,7506822,7547364,7393630,7501374,7409065,7746584,7619320,7405250,7479948,7446610,7363266,7763210,7446165,7460160,7286848,7382998,7414660,7298806,7707587,7753762,7771510,7331932,7590268,7881591,7712802,7610770,7343296,7407566,7357990,7574722,7351294,7214152,7518972,8438600,6965196,7377436,7396332,7527378,7311468,7258889,7087852,7633738,7624518,7141402,7651089,7618634,7510044,7238928,7694662,7994409,7521312,7364710,7634626,7548928,7526614,7764895,7903166,7527256,7336623,7332813,7319368,7642213,7685513,7545082,7994348,7412014,7527705,7165762,7169027,7358460,7308210,7775385,8552176
691,7308824,7373588,7540790,7393243,7681570,7633758,7386052,7275682,7268900,7604230,6949961,7412302,7878239,7532978,7412980,7572298,8514522,7718416,7278020,7343036,7758109,7679574,7231676,7231521,7507748,7507453,7546744,7393630,7503292,7411102,7746584,7616422,7406614,7479298,7445911,7364670,7763740,7446165,7462820,7287590,7383690,7412570,7298806,7707587,7753762,7771510,7334087,7589675,7878364,7714998,7613089,7346852,7408247,7358708,7574722,7352718,7216550,7520223,8418989,6969698,7378132,7397760,7527999,7311468,7261200,7087852,7633162,7623941,7143132,7651650,7619212,7511955,7239691,7696340,7994409,7520684,7364710,7634626,7548928,7528485,7763349,7957075,7527256,7336623,7333543,7319368,7641636,7684938,7545698,7987080,7414730,7528326,7168343,7169028,7358460,7308941,7772878,8537534
691.5,7311008,7373588,7543250,7393934,7684867,7634910,7386052,7277196,7269656,7603643,6953739,7412302,7875904,7533597,7411623,7571094,8506971,7717886,7279560,7342305,7758109,7678472,7233269,7233862,7507748,7507453,7547984,7394320,7507120,7411780,7745536,7615262,7408658,7480598,7445911,7366072,7762680,7445504,7462156,7288331,7385074,7413268,7300342,7707036,7752638,7770492,7336958,7589675,7876054,7714998,7617141,7348272,7410286,7358708,7574120,7352006,7214952,7519598,8405230,6967900,7378132,7397760,7527378,7312199,7261970,7088696,7633738,7623941,7143996,7649967,7620945,7511955,7240453,7699132,7994828,7521940,7366116,7631186,7547705,7530354,7761801,8026840,7527256,7335888,7332813,7318643,7642213,7683786,7545698,7971972,7415407,7528326,7169202,7165738,7360593,7308941,7772376,8520628
692,7310280,7372194,7542635,7396696,7688155,7635486,7386743,7278710,7270412,7604815,6952796,7413660,7871219,7534216,7412302,7568681,8490426,7716826,7278020,7341574,7757562,7676265,7234862,7232302,7509048,7510606,7546744,7395010,7507757,7412457,7745012,7614681,7408660,7479298,7445212,7368174,7762680,7445504,7462156,7289072,7386456,7411872,7301110,7708138,7753762,7769472,7339105,7587896,7872810,7713902,7619450,7348981,7411644,7360860,7573518,7352718,7215751,7520223,8384574,6968799,7378827,7396332,7527378,7312930,7263508,7090380,7633738,7623364,7144860,7648843,7622099,7510681,7241216,7700247,7993152,7522568,7365413,7630038,7546482,7530354,7759216,8105707,7526010,7335153,7333544,7319368,7640478,7683786,7543848,7963701,7416084,7528947,7169202,7168206,7359882,7311134,7768350,8495495
692.5,7311008,7372194,7542635,7398762,7689796,7636637,7390192,7277953,7269656,7604230,6954682,7413660,7862264,7534216,7412302,7566264,8476604,7717356,7278020,7340841,7756468,7676818,7234862,7232302,7509697,7509976,7546744,7395010,7510301,7413812,7745012,7612938,7410020,7478647,7445911,7368174,7762680,7446165,7463484,7287590,7387838,7412570,7300342,7707587,7753762,7768962,7340536,7586117,7868161,7714450,7621754,7351108,7410965,7359426,7574723,7354848,7216550,7521473,8363611,6969698,7376740,7399188,7527999,7312929,7262740,7092066,7633162,7625670,7143996,7649406,7621522,7511318,7240454,7700804,7991470,7523196,7364710,7627163,7547094,7529731,7759215,8143132,7524140,7334418,7335004,7318644,7640478,7682058,7543230,7951594,7416084,7527084,7169202,7169027,7360593,7309672,7765826,8482463
693,7309552,7373588,7545706,7400825,7693071,7637212,7388814,7278710,7268898,7604815,6957507,7415014,7857047,7532978,7410945,7565053,8462780,7716826,7278790,7338642,7757015,7674053,7234862,7231521,7509047,7510606,7546744,7395700,7510936,7413135,7744487,7612356,7411380,7479298,7444511,7368874,7761087,7448148,7463484,7289072,7387838,7412570,7301110,7708138,7753762,7767430,7340536,7585524,7865362,7717192,7624054,7352524,7410286,7360144,7573518,7352006,7215751,7522098,8344968,6969698,7376740,7396332,7527999,7314390,7264276,7091224,7633738,7623941,7144860,7649967,7621522,7508768,7241216,7701361,7991891,7522568,7364710,7626588,7544030,7529108,7756106,8205928,7524140,7334418,7336464,7319368,7640478,7682634,7541996,7938460,7417438,7528947,7173487,7168206,7361304,7311863,7764815,8454516
693.5,7308096,7373588,7546319,7400826,7694704,7637212,7390192,7278710,7270412,7605400,6957507,7415691,7847021,7532978,7410266,7563236,8443754,7714705,7280330,7338642,7756468,7674053,7234860,7230740,7510346,7510606,7546744,7395010,7513474,7413812,7742912,7611192,7411380,7477996,7445911,7366072,7761087,7445504,7466136,7290554,7386456,7411174,7301110,7706485,7753762,7767430,7343394,7582549,7861150,7717192,7626350,7353938,7411644,7361576,7574120,7352716,7215751,7521473,8324126,6970597,7378132,7396332,7526756,7314390,7266579,7091224,7634889,7624518,7146584,7649406,7621522,7509406,7242740,7703586,7989367,7523196,7364710,7622548,7544643,7529731,7755068,8235166,7522268,7335888,7337193,7318643,7640478,7680905,7540758,7924304,7418792,7527084,7173487,7168206,7360593,7309672,7762283,8433868
694,7311008,7373588,7546932,7400826,7694160,7637787,7390192,7280222,7269656,7605400,6955624,7415014,7840772,7532978,7410266,7562022,8434475,7714173,7279560,7338642,7755919,7674053,7233270,7230739,7509697,7511235,7546744,7397076,7516004,7414489,7743437,7610610,7412060,7478647,7446610,7366072,7761087,7445503,7465474,7291294,7387147,7411872,7301110,7705934,7754324,7767430,7342680,7578971,7858803,7717192,7628640,7353938,7409607,7359426,7573518,7353428,7214952,7520223,8311628,6972394,7378132,7396332,7526134,7315847,7267346,7091224,7634889,7624518,7144858,7648280,7621522,7509406,7243502,7703586,7988946,7523196,7366116,7621392,7543416,7530975,7752990,8273088,7521643,7335888,7337922,7318643,7639900,7681482,7540139,7913426,7418792,7527084,7172632,7167384,7361304,7309672,7761776,8412553
694.5,7308096,7373588,7547545,7404258,7694160,7637787,7388814,7279466,7268142,7605986,6954682,7414337,7827684,7531119,7409587,7559591,8415887,7713642,7280330,7337908,7754273,7672390,7233270,7232302,7510346,7513122,7545504,7397077,7517267,7416518,7742912,7608860,7412740,7479298,7446610,7364670,7761087,7445504,7466136,7290554,7387836,7411872,7300342,7706485,7753200,7766919,7341965,7577776,7853622,7716644,7629784,7354645,7409607,7360144,7573518,7352718,7215751,7519598,8293890,6971496,7376740,7397046,7526133,7315848,7268112,7090382,7635464,7625094,7144858,7648280,7622675,7508768,7241978,7703030,7987258,7525075,7365413,7617337,7542802,7530352,7750385,8305625,7521017,7335888,7335734,7318643,7640478,7681482,7540758,7905966,7419467,7527084,7172632,7167384,7361302,7311132,7758219,8385831
695,7310280,7374284,7548158,7405628,7694160,7639512,7391568,7280977,7268898,7605986,6955624,7413658,7817404,7532978,7408228,7556544,8403006,7713110,7279560,7336439,7753725,7673500,7233270,7229958,7509697,7512493,7546124,7397076,7521051,7415842,7742912,7607108,7414096,7479298,7444511,7363968,7759494,7446165,7464812,7290554,7389216,7410476,7301878,7707587,7753762,7766408,7342680,7575383,7851732,7717192,7631498,7355352,7410965,7359426,7572310,7351294,7216550,7521473,8277884,6974189,7376740,7396332,7525511,7317304,7270408,7092066,7634889,7624518,7144860,7648843,7621522,7507492,7245022,7704142,7985569,7525702,7364006,7616176,7542188,7530354,7749864,8329088,7519766,7335888,7338651,7317194,7640478,7679750,7539520,7893558,7420142,7527084,7175197,7169028,7362013,7311134,7756692,8373009
695.5,7309552,7374980,7549381,7404944,7694705,7638937,7390192,7280222,7268898,7604230,6957507,7414337,7808011,7531119,7408908,7557154,8390192,7712046,7279560,7335703,7753725,7671836,7234066,7230740,7509697,7513750,7546744,7397076,7521681,7416518,7742386,7607108,7412060,7478647,7444511,7363266,7759494,7444180,7466798,7290554,7389216,7410476,7300342,7707587,7755447,7765897,7340536,7571184,7847943,7719382,7633210,7356058,7410286,7357272,7571706,7352718,7217348,7520848,8262224,6975086,7376044,7396332,7523017,7317304,7269643,7092066,7635464,7625669,7146584,7649406,7622099,7508768,7245022,7704698,7984724,7526952,7364006,7613852,7541573,7529108,7747253,8350726,7520392,7334418,7338651,7317194,7639322,7679750,7538901,7884589,7420142,7527084,7175197,7168206,7362013,7309672,7753629,8348579
696,7310280,7374284,7550604,7407680,7694160,7640658,7390880,7280222,7268900,7605400,6958448,7414337,7797057,7531740,7408907,7555324,8373491,7712046,7280330,7332760,7754274,7670170,7234862,7229176,7510345,7514378,7546124,7398454,7522310,7413812,7741860,7606524,7413418,7477996,7443810,7361862,7760025,7444180,7466136,7289813,7386456,7409078,7301110,7706485,7754886,7765386,7339821,7568778,7846042,7718286,7633210,7357469,7410965,7357990,7572310,7351294,7217348,7521473,8245939,6976878,7376044,7395617,7520521,7317304,7271935,7092066,7635464,7624518,7146583,7648280,7622099,7507492,7245022,7704142,7982182,7525702,7364006,7609771,7539729,7529731,7745684,8360465,7518514,7334418,7338651,7317919,7639322,7679172,7537662,7872822,7419467,7527084,7176905,7167384,7363431,7310403,7752606,8336742
696.5,7308096,7374980,7551214,7406996,7693071,7640085,7392944,7283240,7267384,7605400,6957507,7413660,7791033,7531740,7408228,7554101,8366030,7712046,7279560,7332022,7753725,7669614,7235656,7228393,7510346,7514378,7546124,7398454,7523566,7413812,7740808,7605354,7414096,7477345,7445911,7360454,7759493,7444180,7466798,7290554,7388527,7409078,7302645,7707036,7754324,7764874,7339106,7565160,7841756,7718834,7634348,7356764,7410286,7357272,7571102,7351295,7217348,7520223,8233232,6977773,7373952,7394902,7522394,7317304,7272699,7093749,7635464,7625094,7146584,7648280,7620945,7507492,7245022,7702474,7981334,7525702,7363302,7607435,7538497,7528485,7743064,8371314,7517260,7334418,7339380,7318643,7638164,7679172,7537042,7864127,7421492,7526462,7177758,7167384,7364140,7311132,7751070,8314759
697,7308824,7376372,7552436,7406996,7690888,7640085,7392944,7281732,7268900,7604230,6959387,7414337,7779406,7531119,7407548,7551653,8352383,7710980,7281100,7331284,7752078,7669614,7236450,7229176,7510346,7515634,7545504,7397765,7524822,7415842,7739756,7604183,7414096,7477996,7445212,7359045,7758430,7442856,7466136,7289813,7389216,7408378,7302645,7706485,7754886,7764362,7338390,7563952,7839368,7718286,7634917,7358174,7410286,7356553,7571102,7349872,7217348,7520223,8219996,6975086,7373952,7396331,7519895,7317304,7273462,7092908,7636039,7625094,7146584,7648280,7619790,7507492,7245022,7702474,7980484,7526952,7363302,7606850,7537264,7528485,7742015,8376687,7514750,7334418,7339380,7317919,7638164,7679172,7538281,7859060,7422840,7525840,7178611,7167384,7362722,7310403,7750045,8300714
697.5,7310280,7375676,7553046,7409730,7690342,7639512,7393631,7283240,7267384,7603643,6960326,7415014,7773294,7531119,7408908,7551041,8341796,7710980,7281100,7331284,7751528,7669058,7233270,7227610,7510994,7516261,7545503,7398454,7527330,7417194,7741334,7603011,7413418,7479298,7443810,7357636,7757364,7444180,7466136,7292773,7389216,7409078,7302645,7705382,7754324,7763336,7337674,7559715,7836974,7718834,7633779,7357469,7410286,7354394,7571102,7350583,7218943,7518972,8209212,6975086,7372556,7394902,7519896,7318760,7273462,7092908,7636039,7626245,7146583,7647718,7620368,7504934,7245022,7702474,7977932,7526952,7364006,7603335,7535412,7528485,7739386,8377878,7514750,7332946,7340834,7317194,7639322,7678016,7537662,7851648,7421492,7525840,7178611,7167384,7364140,7310403,7748505,8286966
698,7311008,7377067,7553046,7409048,7691980,7639512,7394318,7283240,7267384,7603056,6961265,7414337,7763038,7531119,7406868,7549814,8331968,7710447,7278790,7330546,7752078,7669058,7234862,7225257,7510346,7516261,7545504,7398454,7527955,7416518,7740282,7602424,7414096,7477996,7443110,7356931,7756831,7442856,7466136,7292773,7389216,7408378,7303412,7705382,7753762,7764362,7337674,7558503,7833133,7719928,7634917,7358174,7410286,7354394,7569892,7349872,7218943,7520848,8197951,6976878,7373952,7394902,7519896,7317304,7274988,7094590,7636614,7625670,7145722,7648280,7620368,7504934,7246542,7703030,7976228,7526952,7364006,7600986,7535412,7527862,7737807,8376688,7512863,7334418,7339380,7316469,7638743,7678016,7535800,7843708,7421492,7527084,7177758,7165738,7364849,7310403,7746963,8268876
698.5,7311008,7376372,7552436,7409048,7690342,7639512,7395692,7284748,7268142,7604228,6960326,7413660,7754770,7529877,7407548,7549200,8320830,7709914,7280330,7329068,7752078,7667389,7235656,7224472,7510346,7517514,7545504,7400515,7530455,7416518,7740282,7601252,7414096,7477996,7442410,7354105,7757364,7442856,7466136,7292033,7390594,7406977,7301878,7706485,7754324,7761797,7338390,7556072,7830726,7719928,7635486,7356764,7411644,7356553,7570497,7351294,7217348,7520223,8190597,6975982,7373952,7396331,7518018,7318032,7274986,7092908,7636039,7625670,7147445,7647718,7619212,7504934,7247301,7703030,7975375,7528828,7364710,7598634,7535412,7528485,7736753,8369214,7511606,7332946,7341562,7315744,7639321,7678016,7535179,7839009,7423514,7526462,7180315,7166561,7364849,7309672,7746448,8261163
699,7310280,7375676,7553656,7410412,7689250,7639512,7394318,7283994,7268142,7604230,6962204,7412302,7747484,7530498,7407548,7547972,8315359,7709380,7280330,7329808,7750978,7665716,7235656,7225257,7509048,7518766,7544883,7399141,7530455,7416518,7739756,7600664,7415452,7476042,7442410,7354812,7756298,7441529,7466136,7292034,7389905,7406977,7301878,7707036,7756008,7761797,7334806,7554248,7828798,7719382,7635486,7356058,7410286,7355833,7569892,7348446,7219740,7520223,8180478,6977773,7373952,7394902,7516765,7317304,7276510,7094590,7636614,7626245,7146584,7648280,7619790,7504294,7246542,7701361,7974095,7528204,7364006,7596276,7536030,7527862,7735170,8361067,7510976,7333682,7343016,7317194,7638164,7679172,7535179,7831922,7425534,7525840,7182016,7166561,7365556,7308210,7744388,8245524
699.5,7311008,7376372,7554266,7410412,7688156,7639512,7396377,7284748,7268900,7604230,6962204,7411624,7741208,7529256,7405507,7546742,8303707,7707243,7279560,7328328,7749327,7666832,7234862,7226042,7509697,7518140,7544262,7399141,7531704,7416518,7738702,7600076,7414096,7476042,7444511,7353398,7755765,7441528,7466136,7292034,7389216,7406276,7301878,7705934,7754886,7761284,7336242,7551810,7827831,7720474,7635486,7355352,7410965,7353673,7569286,7349159,7219740,7519598,8170577,6977773,7374650,7394187,7518018,7317304,7276510,7093749,7636614,7625670,7149167,7647156,7619790,7503654,7248060,7700804,7972812,7530700,7363302,7593914,7534176,7527862,7734114,8343054,7510346,7331472,7343016,7316469,7638164,7678016,7533314,7826214,7424861,7525840,7182016,7166561,7364140,7310403,7744388,8238204
700,7311008,7377762,7554266,7411094,7687060,7639512,7397062,7285501,7267384,7602469,6962204,7411624,7736476,7529256,7405507,7545511,8296274,7706172,7279560,7326847,7748776,7665158,7232473,7226041,7509697,7518766,7544262,7399828,7532951,7415842,7739229,7598900,7413418,7476042,7444511,7351273,7755765,7442856,7467460,7292034,7389905,7406276,7302645,7705934,7754886,7760770,7334088,7549368,7824929,7719928,7635486,7357469,7412322,7354394,7569286,7347018,7220536,7520223,8164382,6977773,7373254,7394902,7514883,7318759,7278032,7092908,7637188,7626245,7150028,7648280,7620368,7503013,7249578,7700804,7971100,7529452,7363302,7592732,7532940,7527861,7731998,8330613,7510346,7334418,7343742,7316469,7637584,7677438,7533314,7820476,7424861,7525840,7182016,7167384,7365558,7311134,7742323,8223368
700.5,7310280,7377762,7554266,7413138,7685964,7639512,7397747,7285501,7267384,7603643,6964078,7413660,7729080,7528635,7404826,7544280,8288775,7706172,7280330,7326107,7749327,7665716,7232473,7226042,7509697,7519392,7543018,7399828,7533574,7416518,7738174,7598312,7414096,7475390,7443110,7349148,7755232,7441529,7466136,7292034,7389905,7407678,7303412,7705934,7754885,7761284,7334088,7548144,7822989,7718287,7636624,7357469,7410286,7354393,7567468,7348446,7216550,7519598,8152915,6978668,7372556,7394187,7514884,7318032,7279552,7092066,7637188,7626820,7147445,7647718,7618634,7502372,7249578,7700247,7970671,7531948,7364006,7589769,7532321,7525990,7731998,8308220,7508453,7331472,7345194,7317919,7637004,7676860,7532692,7814705,7426878,7524594,7181166,7167384,7365558,7310403,7741290,8214598
701,7311008,7379150,7555484,7411776,7685964,7638362,7397062,7287760,7268142,7602469,6964078,7412302,7725896,7529877,7404825,7543663,8279953,7705636,7280330,7326107,7748225,7665716,7231676,7224472,7509697,7520642,7543640,7401201,7533574,7417870,7738174,7597135,7413418,7475390,7442410,7348438,7754698,7442192,7466798,7291294,7389905,7407678,7303412,7705934,7754886,7759228,7334088,7545694,7819587,7718287,7636623,7358174,7410965,7352952,7568680,7347732,7218146,7520848,8147305,6978668,7373254,7395617,7514256,7318759,7279552,7092066,7637188,7627395,7150028,7647156,7619212,7503654,7248060,7699690,7968525,7531324,7361892,7589176,7531702,7526614,7729349,8274702,7507190,7330735,7344468,7315744,7636424,7676281,7532692,7811324,7426878,7525217,7184564,7164914,7365558,7308941,7740255,8203489
